filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	calibration_strand_speed_bps_template
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_137_strand.fast5	d49315c8-fcc7-43a1-a330-1b4c833a4afe	c658a0f770028f020749390debc1a174a1c83146	137	20.1162	1.40189	1096	True	0.05827	1096	1.34363	1096	638	7.883	-0.7191	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_132_strand.fast5	ea4e7652-14b6-4594-8d46-2575db70a894	c658a0f770028f020749390debc1a174a1c83146	132	16.37135	1.74452	1446	True	0.02656	1446	1.71796	1446	710	7.099	-0.8523	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_14_strand.fast5	0035e5f6-802d-46c4-963b-92dc8baa52fe	c658a0f770028f020749390debc1a174a1c83146	14	28.67347	2.00249	1490	True	0.16965	1490	1.83284	1490	757	8.206	-0.6738	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_140_strand.fast5	5e7915c6-94d5-42e6-97ad-c77fe64b0aa9	c658a0f770028f020749390debc1a174a1c83146	140	26.64857	1.40455	1162	True	0.01992	1162	1.38463	1162	637	7.132	-0.9377	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_144_strand.fast5	6bedba72-eaec-48a2-91ae-b0ac71d31659	c658a0f770028f020749390debc1a174a1c83146	144	12.72394	1.43078	1101	True	0.12483	1101	1.30594	1101	601	7.821	-0.7431	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_138_strand.fast5	acbf018a-b022-41f7-9385-b96ba8210639	c658a0f770028f020749390debc1a174a1c83146	138	9.82686	1.34661	801	True	0.38214	801	0.96448	801	428	7.374	-0.8126	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_173_strand.fast5	2ad4d1f1-3e27-46ff-a66d-2de2b11ad41d	c658a0f770028f020749390debc1a174a1c83146	173	15.5908	2.07952	1661	True	0.04698	1661	2.03254	1661	895	7.961	-0.7725	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_155_strand.fast5	874a18d3-1b21-425b-9461-d46cb5746e0a	c658a0f770028f020749390debc1a174a1c83146	155	15.60242	1.66766	1419	True	0.01245	1419	1.65521	1419	851	7.604	-0.8041	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_160_strand.fast5	99172652-42fd-4695-a1a9-76427f0f7728	c658a0f770028f020749390debc1a174a1c83146	160	33.749	1.70983	1257	True	0.15787	1257	1.55196	1257	733	10.45	-0.3984	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_168_strand.fast5	b512588c-c5d5-401f-9a98-c97f5e781651	c658a0f770028f020749390debc1a174a1c83146	168	13.38048	1.46663	1059	True	0.17812	1059	1.28851	1059	633	8.182	-0.6953	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_166_strand.fast5	dc66c356-cf15-47ef-be4c-ba7b7e971f0e	c658a0f770028f020749390debc1a174a1c83146	166	11.35027	1.35724	1090	True	0.05727	1090	1.29997	1090	578	7.996	-0.7115	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_195_strand.fast5	07d29e45-ad7c-4c20-b216-ce98f11238ee	c658a0f770028f020749390debc1a174a1c83146	195	20.53469	2.21979	1790	True	0.02092	1790	2.19887	1790	988	8.919	-0.6425	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_186_strand.fast5	0efb5e72-465b-4888-b517-d08da562ac1e	c658a0f770028f020749390debc1a174a1c83146	186	46.58748	1.8921	1583	True	0	1583	1.8921	1583	787	7.252	-1.1657	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_183_strand.fast5	27f408ce-c4c4-478d-a77d-07fbdba84e08	c658a0f770028f020749390debc1a174a1c83146	183	14.19655	1.67945	1268	True	0.12849	1268	1.55096	1268	708	8.293	-0.6346	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_206_strand.fast5	42956d51-3cc3-4e53-9cda-ce9f524c09b8	c658a0f770028f020749390debc1a174a1c83146	206	11.99817	1.61803	1298	True	0.02125	1298	1.59678	1298	659	8.197	-0.6921	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_182_strand.fast5	7ffdd5c1-c802-4ff1-85da-5e5deb856eea	c658a0f770028f020749390debc1a174a1c83146	182	12.54449	1.07736	627	True	0.29333	627	0.78403	627	289	7.201	-0.8263	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_255_strand.fast5	59ceb6e8-475a-4dbd-8d9e-2479036d1800	c658a0f770028f020749390debc1a174a1c83146	255	17.31873	4.21813	3490	True	0.02556	3490	4.19256	3490	1987	9.335	-0.6058	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_243_strand.fast5	938b45ab-f900-4c05-9c27-2775688a41e4	c658a0f770028f020749390debc1a174a1c83146	243	10.57703	1.88114	1505	True	0.05561	1505	1.82553	1505	687	7.03	-0.8971	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_25_strand.fast5	9b353447-e8db-43a9-9f8d-69734ad6f433	c658a0f770028f020749390debc1a174a1c83146	25	9.24021	1.51826	1179	True	0.07819	1179	1.44007	1179	643	7.803	-0.7401	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_223_strand.fast5	c76d5c0b-a5a3-4a15-9787-26281514b80c	c658a0f770028f020749390debc1a174a1c83146	223	11.54947	1.46829	1249	True	0.01345	1249	1.45485	1249	794	7.443	-0.8403	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_246_strand.fast5	f564b9c3-62fc-4dca-b26b-cb4c9720f22e	c658a0f770028f020749390debc1a174a1c83146	246	9.35757	1.95999	1491	True	0.15554	1491	1.80445	1491	865	8.846	-0.6158	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_271_strand.fast5	514f0ffb-1eb9-4a77-af23-5b9175cd67f0	c658a0f770028f020749390debc1a174a1c83146	271	23.15355	2.27058	1858	True	0.01428	1858	2.25631	1858	1130	7.202	-0.9025	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_276_strand.fast5	8d90f678-52bf-4120-a5a6-2756b6d2c70f	c658a0f770028f020749390debc1a174a1c83146	276	11.95385	3.12832	2575	True	0.02673	2575	3.10159	2575	1416	8.268	-0.6975	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_269_strand.fast5	caadda65-6f09-48b3-8225-a7947eb8a450	c658a0f770028f020749390debc1a174a1c83146	269	9.32254	1.4429	988	True	0.25946	988	1.18343	988	582	7.13	-0.8899	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_265_strand.fast5	cc52392c-c14d-4ffc-b889-3393693e256f	c658a0f770028f020749390debc1a174a1c83146	265	10.94622	1.9092	1471	True	0.11023	1471	1.79897	1471	746	7.602	-0.8216	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_264_strand.fast5	de809009-09bd-4c05-b1ad-fff065a3d662	c658a0f770028f020749390debc1a174a1c83146	264	9.67729	1.6665	1218	True	0.14841	1218	1.51809	1218	700	8.344	-0.689	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_284_strand.fast5	70552bf3-cdca-4ece-be87-15ab6df17350	c658a0f770028f020749390debc1a174a1c83146	284	66.82653	1.73722	1299	True	0.20136	1299	1.53586	1299	721	8.321	-0.6631	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_303_strand.fast5	c9f78e80-2a33-473e-8ba2-3c6a629aa7b7	c658a0f770028f020749390debc1a174a1c83146	303	20.23124	2.33167	1909	True	0.03901	1909	2.29266	1909	989	7.787	-0.8462	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_291_strand.fast5	cc65d48e-340f-4669-bbef-e52eb73cd320	c658a0f770028f020749390debc1a174a1c83146	291	11.30262	1.21049	870	True	0.15206	870	1.05843	870	434	8.175	-0.7061	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_280_strand.fast5	cee24389-f739-419b-a2d6-030cf4f5ddb7	c658a0f770028f020749390debc1a174a1c83146	280	40.27872	1.52258	1285	True	0	1285	1.52258	1285	624	7.671	-0.9737	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_296_strand.fast5	f006c94c-5045-407b-912c-39dcaa29efeb	c658a0f770028f020749390debc1a174a1c83146	296	9.95684	2.18692	1634	True	0.18576	1634	2.00116	1634	936	9.922	-0.4742	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_314_strand.fast5	0138efb0-79c4-4157-84d5-7e6a7e445ec8	c658a0f770028f020749390debc1a174a1c83146	314	30.09296	1.4492	1181	True	0.02706	1181	1.42214	1181	665	7.71	-0.8114	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_325_strand.fast5	3cf35c5d-5513-40ef-a55a-36b3554fb939	c658a0f770028f020749390debc1a174a1c83146	325	14.49535	1.97676	1554	True	0.0923	1554	1.88446	1554	831	7.158	-0.9854	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_323_strand.fast5	6ab2f401-c041-4757-8c26-99ee21125b56	c658a0f770028f020749390debc1a174a1c83146	323	12.42829	1.83516	1419	True	0.08433	1419	1.75083	1419	658	8.905	-0.5622	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_30_strand.fast5	8a6f2eb1-a589-45bc-bb2d-761a24076335	c658a0f770028f020749390debc1a174a1c83146	30	36.51195	1.82072	1409	True	0.13098	1409	1.68974	1409	788	7.917	-0.713	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_305_strand.fast5	e61360a7-366e-4bdd-9207-66bcb3e8d503	c658a0f770028f020749390debc1a174a1c83146	305	13.60359	2.57636	1972	True	0.21863	1972	2.35774	1972	1131	8.354	-0.668	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_349_strand.fast5	12629c7d-30fb-4481-a07d-f4379f08325c	c658a0f770028f020749390debc1a174a1c83146	349	11.51195	1.30063	989	True	0.13147	989	1.16916	989	529	8.215	-0.6937	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_359_strand.fast5	36ae9783-dff7-49b4-b752-9325ebd53d61	c658a0f770028f020749390debc1a174a1c83146	359	16.0161	1.43841	1137	True	0.05561	1137	1.3828	1137	635	7.126	-0.8588	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_33_strand.fast5	54b54b7c-c7c7-477f-9360-2a178d51b42f	c658a0f770028f020749390debc1a174a1c83146	33	10.06939	2.06208	1705	True	0	1705	2.06208	1705	816	8.116	-0.8795	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_341_strand.fast5	82c3d7ec-4160-4827-8911-e880327d39fa	c658a0f770028f020749390debc1a174a1c83146	341	9.04133	2.07537	1547	True	0.16003	1547	1.91534	1547	762	9.367	-0.4983	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_346_strand.fast5	af422af1-001b-451a-8fde-8b08d1225758	c658a0f770028f020749390debc1a174a1c83146	346	15.70302	1.56424	1229	True	0.04366	1229	1.52058	1229	657	7.308	-0.8666	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_336_strand.fast5	f889520f-1dbc-4da9-ab04-63a1ba97d51d	c658a0f770028f020749390debc1a174a1c83146	336	20.33333	2.19887	1605	True	0.23257	1605	1.9663	1605	818	8.578	-0.615	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_376_strand.fast5	00998621-cb1c-46f8-9dff-0f1e11aea011	c658a0f770028f020749390debc1a174a1c83146	376	16.82636	1.376	1101	True	0.02274	1101	1.35325	1101	634	8.098	-0.7486	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_384_strand.fast5	12590127-d540-4a20-8857-04b46104e11d	c658a0f770028f020749390debc1a174a1c83146	384	24.67945	1.56491	1264	True	0	1264	1.56491	1264	598	7.845	-1.0004	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_401_strand.fast5	50794d7a-1823-44bc-9711-8b3dfe3e6d9c	c658a0f770028f020749390debc1a174a1c83146	401	8.99137	1.44041	1217	True	0.02988	1217	1.41052	1217	694	7.023	-0.9159	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_369_strand.fast5	5fca15a4-5d46-4da3-8d41-5b65645d6b78	c658a0f770028f020749390debc1a174a1c83146	369	20.01643	4.43509	3625	True	0	3625	4.43509	3625	1777	7.507	-0.9492	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_399_strand.fast5	8d1f531d-5723-48e9-a4f6-48a54c065128	c658a0f770028f020749390debc1a174a1c83146	399	10.11919	1.15554	773	True	0.17513	773	0.98041	773	327	8.034	-0.6457	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_36_strand.fast5	d8dde95b-c70e-43da-aabd-b54a6aaf2757	c658a0f770028f020749390debc1a174a1c83146	36	33.83616	2.1338	1699	True	0.09097	1699	2.04283	1699	871	8.329	-0.6848	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_435_strand.fast5	0f8aa91a-11fc-4096-a460-7f5f7765b941	c658a0f770028f020749390debc1a174a1c83146	435	29.63214	1.90754	1468	True	0.12019	1468	1.78735	1468	778	8.429	-0.7148	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_420_strand.fast5	d636097a-ddba-4e27-9917-80de9829503d	c658a0f770028f020749390debc1a174a1c83146	420	16.67613	1.41799	983	True	0.24485	983	1.17314	983	606	7.598	-0.7971	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_434_strand.fast5	f53204b7-fc25-4cdd-8dbc-9e2138dea36d	c658a0f770028f020749390debc1a174a1c83146	434	40.02507	1.78884	1450	True	0.06208	1450	1.72676	1450	818	8.331	-0.665	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_417_strand.fast5	f55c501c-eb19-40b9-b240-1f0665c8e600	c658a0f770028f020749390debc1a174a1c83146	417	13.14708	1.37815	1140	True	0.01926	1140	1.3589	1140	674	7.388	-0.8589	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_470_strand.fast5	6819c03c-ebef-4ba0-b524-153ee116d6d3	c658a0f770028f020749390debc1a174a1c83146	470	17.7661	1.05495	754	True	0.15405	754	0.9009	754	422	8.48	-0.5904	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_445_strand.fast5	acb2e2b5-dff7-4c22-aa42-c570e91f462d	c658a0f770028f020749390debc1a174a1c83146	445	17.91949	1.28536	962	True	0.11869	962	1.16667	962	573	7.231	-0.8716	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_459_strand.fast5	d4e7d6a6-6358-47a6-982c-6e62761a714b	c658a0f770028f020749390debc1a174a1c83146	459	17.67015	1.36653	1001	True	0.1489	1001	1.21763	1001	584	7.472	-0.7953	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_480_strand.fast5	f1ebe21a-4fac-4b53-8f61-06c7291ad2d9	c658a0f770028f020749390debc1a174a1c83146	480	37.60657	1.73738	1124	True	0.38064	1124	1.35674	1124	626	9.121	-0.5393	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_477_strand.fast5	fc0fe48e-8849-4b86-bb88-4e7ae33961e8	c658a0f770028f020749390debc1a174a1c83146	477	12.4248	2.04233	1300	True	0.4995	1300	1.54283	1300	741	9.174	-0.5475	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_438_strand.fast5	fcf42886-0374-4e2f-b4cd-3f6c2b50cac2	c658a0f770028f020749390debc1a174a1c83146	438	31.56474	2.06839	1597	True	0.12384	1597	1.94456	1597	789	7.863	-0.8531	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_500_strand.fast5	1b82679d-9b32-402d-a585-5cb06a4f54bb	c658a0f770028f020749390debc1a174a1c83146	500	9.95933	1.56673	1051	True	0.30843	1051	1.2583	1051	573	8.604	-0.6014	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_498_strand.fast5	b7790593-ff59-4620-8912-d685f3951369	c658a0f770028f020749390debc1a174a1c83146	498	29.78088	1.33549	990	True	0.13513	990	1.20037	990	479	7.819	-0.6886	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_505_strand.fast5	dbea22c9-c8ae-4e7f-8b2a-8c5b5c5ebde2	c658a0f770028f020749390debc1a174a1c83146	505	38.40969	1.19489	822	True	0.20634	822	0.98855	822	483	8.086	-0.7263	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_86_strand.fast5	39cfb219-955a-4d40-acc2-907bc2376774	c658a0f770028f020749390debc1a174a1c83146	86	11.38446	1.17779	886	True	0.13513	886	1.04266	886	475	7.367	-0.8649	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_57_strand.fast5	8983a9aa-733f-4362-9879-5599605bcaf5	c658a0f770028f020749390debc1a174a1c83146	57	28.20501	1.5664	1254	True	0.04266	1254	1.52374	1254	687	7.24	-0.8169	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_60_strand.fast5	c239870e-d4f8-42c1-b336-79807717798d	c658a0f770028f020749390debc1a174a1c83146	60	18.26345	1.67795	1239	True	0.18642	1239	1.49153	1239	669	8.163	-0.6969	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_90_strand.fast5	0806b18c-3288-4204-bef5-2d2eba065e20	c658a0f770028f020749390debc1a174a1c83146	90	34.40936	1.51776	1255	True	0	1255	1.51776	1255	713	7.469	-0.9176	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_95_strand.fast5	0929a574-d2f4-482b-bebe-7488ab3bb1c2	c658a0f770028f020749390debc1a174a1c83146	95	29.51145	1.7427	1282	True	0.18227	1282	1.56042	1282	760	10.11	-0.4169	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_110_ch_214_strand.fast5	4434fc53-7a32-4b62-a40a-a457bcead916	c658a0f770028f020749390debc1a174a1c83146	214	94.14608	1.01378	809	True	0	809	1.01378	809	303	8.784	-0.9955	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_111_ch_322_strand.fast5	c1d1c399-8bc9-4c52-9432-cf6110a4f55e	c658a0f770028f020749390debc1a174a1c83146	322	93.78918	1.72576	1250	True	0.19821	1250	1.52756	1250	675	9.292	-0.5422	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_111_ch_392_strand.fast5	9ecde216-1c78-4a11-9ae9-d55b5c46848e	c658a0f770028f020749390debc1a174a1c83146	392	56.83582	1.8667	1301	True	0.28602	1301	1.58068	1301	690	8.192	-0.6728	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_11_ch_110_strand.fast5	1958f458-c283-43ce-9562-cd54efef8d89	c658a0f770028f020749390debc1a174a1c83146	110	20.97693	2.53453	1810	True	0.32952	1810	2.20501	1810	949	8.642	-0.6532	filtered_out	-1	-1	0
